,,,Cl,,,,Alpha
-1.1171,-1.1544,-1.1353,-1.1057,-1.0256,-0.9145,-0.76818,-36.5
-1.1212,-1.1549,-1.1345,-1.1024,-1.0216,-0.90288,-0.75673,-36
-1.125,-1.1552,-1.133,-1.0984,-1.0156,-0.89235,-0.7458,-35.5
-1.1286,-1.1556,-1.1313,-1.0934,-1.0069,-0.88283,-0.73562,-35
-1.132,-1.156,-1.1298,-1.0875,-0.99471,-0.87386,-0.72636,-34.5
-1.1353,-1.1565,-1.1288,-1.0806,-0.97884,-0.865,-0.71805,-34
-1.1386,-1.1572,-1.1283,-1.0725,-0.96089,-0.8558,-0.71065,-33.5
-1.1419,-1.158,-1.1281,-1.0633,-0.94294,-0.8458,-0.70411,-33
-1.1454,-1.1591,-1.1282,-1.0532,-0.92707,-0.83456,-0.69839,-32.5
-1.1492,-1.1604,-1.1284,-1.0426,-0.9149,-0.82201,-0.69344,-32
-1.1533,-1.162,-1.1286,-1.0318,-0.9062,-0.80919,-0.68924,-31.5
-1.1578,-1.164,-1.1288,-1.0213,-0.90026,-0.7973,-0.68573,-31
-1.1628,-1.1663,-1.1288,-1.0116,-0.89637,-0.78756,-0.68284,-30.5
-1.1683,-1.1691,-1.1287,-1.0031,-0.89383,-0.78117,-0.68046,-30
-1.1744,-1.1723,-1.1285,-0.99607,-0.89191,-0.77934,-0.67843,-29.5
-1.1809,-1.176,-1.1283,-0.99067,-0.88995,-0.78329,-0.67663,-29
-1.1878,-1.1802,-1.1281,-0.98682,-0.88764,-0.79395,-0.67491,-28.5
-1.1948,-1.1849,-1.128,-0.98445,-0.88507,-0.8091,-0.67313,-28
-1.2018,-1.1902,-1.1281,-0.98349,-0.88231,-0.82443,-0.67115,-27.5
-1.2088,-1.196,-1.1285,-0.98388,-0.87944,-0.83564,-0.66886,-27
-1.2156,-1.2024,-1.1291,-0.98555,-0.87654,-0.83837,-0.6663,-26.5
-1.2222,-1.2091,-1.1302,-0.98843,-0.87368,-0.82832,-0.66364,-26
-1.229,-1.2161,-1.1319,-0.99236,-0.87094,-0.80115,-0.66103,-25.5
-1.2361,-1.2235,-1.1347,-0.99708,-0.86843,-0.75254,-0.65864,-25
-1.2439,-1.231,-1.1386,-1.0023,-0.86649,-0.68373,-0.65662,-24.5
-1.2525,-1.2387,-1.1439,-1.0078,-0.8657,-0.60936,-0.65515,-24
-1.2622,-1.2466,-1.151,-1.0133,-0.8666,-0.54603,-0.65438,-23.5
-1.2731,-1.2553,-1.1599,-1.0186,-0.86978,-0.51037,-0.65389,-23
-1.2851,-1.2651,-1.1709,-1.0234,-0.8758,-0.519,-0.65209,-22.5
-1.2984,-1.2765,-1.1836,-1.0301,-0.88519,-0.58852,-0.64723,-22
-1.3127,-1.2901,-1.1979,-1.0441,-0.89799,-0.73556,-0.63757,-21.5
-1.3281,-1.3062,-1.2134,-1.0708,-0.91375,-0.96647,-0.62135,-21
-1.3447,-1.3242,-1.2299,-1.1144,-0.93181,-1.2143,-0.59695,-20.5
-1.3625,-1.3435,-1.2471,-1.162,-0.94943,-1.38,-0.5655,-20
-1.3814,-1.3632,-1.2649,-1.194,-0.96269,-1.3647,-0.53119,-19.5
-1.4016,-1.3827,-1.2843,-1.2109,-0.96988,-1.1125,-0.49813,-19
-1.423,-1.4018,-1.3065,-1.2176,-0.97097,-0.81901,-0.46626,-18.5
-1.4454,-1.4214,-1.3327,-1.2189,-0.96602,-0.71822,-0.4311,-18
-1.4686,-1.4422,-1.3622,-1.2196,-0.95633,-0.73114,-0.38801,-17.5
-1.4924,-1.4649,-1.3922,-1.2224,-0.94974,-0.7114,-0.33295,-17
-1.5163,-1.4891,-1.4204,-1.2262,-0.95611,-0.66548,-0.26508,-16.5
-1.5403,-1.5141,-1.4455,-1.2297,-0.97775,-0.62978,-0.18703,-16
-1.564,-1.5394,-1.4662,-1.2315,-0.99677,-0.6209,-0.12221,-15.5
-1.5871,-1.5643,-1.4815,-1.2303,-0.9919,-0.60864,-0.094623,-15
